model_name,trained_on,dataset,valid_loss,valid_accuracy,train_loss,train_accuracy
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.4407),tensor(0.1313)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.5785),tensor(0.0505)
mlp,MNIST,MNIST,tensor(2.4610),0.0,tensor(2.6173),tensor(0.2929)
mlp,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.5554),tensor(0.1212)
mlp,MNIST,KMNIST,tensor(3.0848),0.0,tensor(2.4353),tensor(0.1616)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.4534),tensor(0.0909)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.5413),tensor(0.1313)
mlp,MNIST,MNIST,tensor(2.3359),0.0,tensor(2.6913),tensor(0.1616)
mlp,MNIST,FashionMNIST,tensor(2.3430),0.0,tensor(3.1834),tensor(0.3535)
mlp,MNIST,KMNIST,tensor(2.3907),0.0,tensor(2.9671),tensor(0.2525)
mlp,MNIST,CIFAR10,tensor(2.3988),0.0,tensor(3.1533),tensor(0.0808)
mlp,MNIST,SVHN,tensor(2.3026),1.0,tensor(2.6936),tensor(0.1010)
mlp,MNIST,MNIST,tensor(2.7636),0.0,tensor(2.7222),tensor(0.2727)
mlp,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.6090),tensor(0.3030)
mlp,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.5996),tensor(0.2121)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.7970),tensor(0.1111)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6059),tensor(0.0909)
mlp,MNIST,MNIST,tensor(2.4371),0.0,tensor(2.4030),tensor(0.2626)
mlp,MNIST,FashionMNIST,tensor(4.2133),0.0,tensor(2.3686),tensor(0.2525)
mlp,MNIST,KMNIST,tensor(2.6380),0.0,tensor(2.6797),tensor(0.2020)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5651),tensor(0.0909)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6586),tensor(0.0808)
mlp,MNIST,MNIST,tensor(1.2987),1.0,tensor(2.5740),tensor(0.2626)
mlp,MNIST,FashionMNIST,tensor(0.0014),1.0,tensor(2.3934),tensor(0.2626)
mlp,MNIST,KMNIST,tensor(3.3802),0.0,tensor(3.0944),tensor(0.1111)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5682),tensor(0.0707)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.7627),tensor(0.0808)
mlp,MNIST,MNIST,tensor(2.9660),0.0,tensor(2.0586),tensor(0.4444)
mlp,MNIST,FashionMNIST,tensor(2.3166),0.0,tensor(2.6464),tensor(0.3737)
mlp,MNIST,KMNIST,tensor(2.4582),0.0,tensor(3.4801),tensor(0.1313)
mlp,MNIST,CIFAR10,tensor(2.1569),0.0,tensor(3.2500),tensor(0.1212)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.7620),tensor(0.1414)
mlp,MNIST,MNIST,tensor(0.9589),1.0,tensor(2.8686),tensor(0.0909)
mlp,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.7468),tensor(0.1313)
mlp,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.9702),tensor(0.1616)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6041),tensor(0.1717)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.7457),tensor(0.1111)
mlp,MNIST,MNIST,tensor(2.3386),0.0,tensor(2.9957),tensor(0.1818)
mlp,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.7185),tensor(0.1414)
mlp,MNIST,KMNIST,tensor(2.3685),0.0,tensor(2.8590),tensor(0.1717)
mlp,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6291),tensor(0.1313)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6681),tensor(0.0606)
mlp,MNIST,MNIST,tensor(1.0540),1.0,tensor(2.3817),tensor(0.3333)
mlp,MNIST,FashionMNIST,tensor(1.4645),1.0,tensor(2.9608),tensor(0.2121)
mlp,MNIST,KMNIST,tensor(2.6223),0.0,tensor(3.2703),tensor(0.2121)
mlp,MNIST,CIFAR10,tensor(2.3095),0.0,tensor(3.3293),tensor(0.1414)
mlp,MNIST,SVHN,tensor(2.2635),0.0,tensor(3.3461),tensor(0.1515)
mlp,MNIST,MNIST,tensor(2.3026),1.0,tensor(2.5446),tensor(0.1818)
mlp,MNIST,FashionMNIST,tensor(1.3662),1.0,tensor(2.4517),tensor(0.3939)
mlp,MNIST,KMNIST,tensor(2.0328),0.0,tensor(3.0484),tensor(0.2929)
mlp,MNIST,CIFAR10,tensor(2.3553),0.0,tensor(3.1630),tensor(0.1212)
mlp,MNIST,SVHN,tensor(2.3070),0.0,tensor(2.8554),tensor(0.1616)
mlp,MNIST,MNIST,tensor(1.6296),1.0,tensor(2.3882),tensor(0.3636)
mlp,MNIST,FashionMNIST,tensor(1.5992),0.0,tensor(2.8717),tensor(0.3838)
mlp,MNIST,KMNIST,tensor(2.8665),0.0,tensor(2.7537),tensor(0.2424)
mlp,MNIST,CIFAR10,tensor(2.3410),0.0,tensor(3.0702),tensor(0.1515)
mlp,MNIST,SVHN,tensor(2.3870),0.0,tensor(3.6536),tensor(0.1212)
mlp,MNIST,MNIST,tensor(1.2498),1.0,tensor(2.4806),tensor(0.3838)
mlp,MNIST,FashionMNIST,tensor(2.7620),0.0,tensor(2.5893),tensor(0.3434)
mlp,MNIST,KMNIST,tensor(2.3712),0.0,tensor(2.9327),tensor(0.2828)
mlp,MNIST,CIFAR10,tensor(2.3477),0.0,tensor(3.1799),tensor(0.1515)
mlp,MNIST,SVHN,tensor(2.3026),1.0,tensor(3.4460),tensor(0.0909)
mlp,MNIST,MNIST,tensor(2.3273),0.0,tensor(2.7101),tensor(0.3535)
mlp,MNIST,FashionMNIST,tensor(2.5745),0.0,tensor(2.4488),tensor(0.4343)
mlp,MNIST,KMNIST,tensor(2.4264),0.0,tensor(2.5965),tensor(0.3232)
mlp,MNIST,CIFAR10,tensor(2.3581),0.0,tensor(3.2307),tensor(0.1212)
mlp,MNIST,SVHN,tensor(2.3367),0.0,tensor(2.7726),tensor(0.1414)
mlp,MNIST,MNIST,tensor(2.4010),0.0,tensor(2.7991),tensor(0.1616)
mlp,MNIST,FashionMNIST,tensor(1.5583),1.0,tensor(2.9417),tensor(0.3333)
mlp,MNIST,KMNIST,tensor(2.7822),0.0,tensor(3.0158),tensor(0.2525)
mlp,MNIST,CIFAR10,tensor(2.3063),0.0,tensor(3.1746),tensor(0.1111)
mlp,MNIST,SVHN,tensor(2.3026),0.0,tensor(3.5876),tensor(0.1010)
mlp,MNIST,MNIST,tensor(1.8651),1.0,tensor(2.4957),tensor(0.1818)
mlp,MNIST,FashionMNIST,tensor(2.0953),1.0,tensor(2.5727),tensor(0.2727)
mlp,MNIST,KMNIST,tensor(2.4762),0.0,tensor(3.1444),tensor(0.2626)
