model,dataset,n_tasks,accuracy,hid_size
transformer,train,16,0.8104499578475952,16
transformer,train,16,0.8470749855041504,32
transformer,train,16,0.9451249837875366,64
transformer,train,16,0.9816750288009644,128
transformer,train,16,0.9926000237464904,512
transformer,train,16,0.9937250018119812,256
transformer,train,64,0.1061500087380409,2
transformer,train,64,0.2589749991893768,4
transformer,train,64,0.422775000333786,8
transformer,train,64,0.6084437370300293,16
transformer,train,64,0.7832562327384949,32
transformer,train,64,0.90333753824234,64
transformer,train,64,0.9668937921524048,128
transformer,train,64,0.9914562702178956,256
transformer,train,64,0.9971811771392822,512
transformer,train,256,0.1051765754818916,2
transformer,train,256,0.1731578707695007,4
transformer,train,256,0.2465062588453292,8
transformer,train,256,0.3810843229293823,16
transformer,train,256,0.5824952721595764,32
transformer,train,256,0.7735984921455383,64
transformer,train,256,0.9034469723701476,128
transformer,train,256,0.9758687019348145,256
transformer,train,256,0.9930437207221984,512
transformer,train,1024,0.1017847806215286,2
transformer,train,1024,0.1336535215377807,4
transformer,train,1024,0.1615136712789535,8
transformer,train,1024,0.2244468480348587,16
transformer,train,1024,0.3443411290645599,32
transformer,train,1024,0.536557137966156,64
transformer,train,1024,0.7421528697013855,128
transformer,train,1024,0.8866915106773376,256
transformer,train,1024,0.9667556285858154,512
transformer,train,4096,0.1005710884928703,2
transformer,train,4096,0.1153796687722206,4
transformer,train,4096,0.1251832544803619,8
transformer,train,4096,0.1400308609008789,16
transformer,train,4096,0.190746784210205,32
transformer,train,4096,0.2990979850292206,64
transformer,train,4096,0.4827346503734588,128
transformer,train,4096,0.6893295049667358,256
transformer,train,4096,0.836363673210144,512
transformer,train,16384,0.3804182708263397,64
transformer,train,16384,0.4743657410144806,128
transformer,train,16384,0.6074469685554504,256
transformer,train,16384,0.8165218234062195,512
transformer,train,65536,0.344338983297348,64
transformer,train,65536,0.3975092768669128,128
transformer,train,65536,0.4755466878414154,256
transformer,train,65536,0.5918539762496948,512
transformer,valid,1,0.1759999990463256,2
transformer,valid,1,0.5460000038146973,4
