model,dataset,n_tasks,accuracy,hid_size
mlp,train,4096,0.2251459956169128,64
mlp,train,4096,0.2974880039691925,128
mlp,train,4096,0.404123991727829,256
mlp,train,4096,0.5567629933357239,512
mlp,train,16384,0.1001499965786933,4
mlp,train,16384,0.100161999464035,2
mlp,train,16384,0.1068290024995803,8
mlp,train,16384,0.1222010031342506,16
mlp,train,16384,0.135914996266365,32
mlp,train,16384,0.1561699956655502,64
mlp,train,16384,0.1883450001478195,128
mlp,train,16384,0.242248997092247,256
mlp,train,16384,0.3258480131626129,512
mlp,train,65536,0.1001249998807907,2
mlp,train,65536,0.1021559983491897,4
mlp,valid,1,0.670199990272522,2
mlp,valid,1,0.8636999726295471,4
mlp,valid,1,0.9265000224113464,8
mlp,valid,1,0.9587000012397766,16
mlp,valid,1,0.9681000113487244,32
mlp,valid,1,0.975499987602234,64
mlp,valid,1,0.9794999957084656,128
mlp,valid,1,0.9811000227928162,256
mlp,valid,1,0.9815000295639038,512
mlp,valid,4,0.5547749996185303,2
mlp,valid,4,0.7833250164985657,4
mlp,valid,4,0.900974988937378,8
mlp,valid,4,0.9361749887466432,16
mlp,valid,4,0.9584500193595886,32
mlp,valid,4,0.9682250022888184,64
mlp,valid,4,0.9746500253677368,128
mlp,valid,4,0.9787750244140624,256
mlp,valid,4,0.97979998588562,512
mlp,valid,16,0.4005599915981293,2
mlp,valid,16,0.6206099987030029,4
mlp,valid,16,0.8016800284385681,8
mlp,valid,16,0.8829799890518188,16
mlp,valid,16,0.9245100021362304,32
mlp,valid,16,0.9495099782943726,64
mlp,valid,16,0.962119996547699,128
mlp,valid,16,0.9705100059509276,256
mlp,valid,16,0.9750999808311462,512
mlp,valid,64,0.2546199858188629,2
mlp,valid,64,0.3800399899482727,4
mlp,valid,64,0.5290799736976624,8
mlp,valid,64,0.686240017414093,16
mlp,valid,64,0.8043500185012817,32
mlp,valid,64,0.8764100074768066,64
mlp,valid,64,0.9164299964904784,128
mlp,valid,64,0.9370399713516236,256
mlp,valid,64,0.9498900175094604,512
mlp,valid,256,0.1697500050067901,2
mlp,valid,256,0.2167800068855285,4
mlp,valid,256,0.2933099865913391,8
mlp,valid,256,0.3977000117301941,16
mlp,valid,256,0.5308399796485901,32
mlp,valid,256,0.6768199801445007,64
mlp,valid,256,0.7882699966430664,128
mlp,valid,256,0.8553100228309631,256
mlp,valid,256,0.8899199962615967,512
mlp,valid,1024,0.140625,2
mlp,valid,1024,0.1528400033712387,4
mlp,valid,1024,0.1820800006389618,8
mlp,valid,1024,0.2218700051307678,16
mlp,valid,1024,0.2882699966430664,32
mlp,valid,1024,0.382889986038208,64
mlp,valid,1024,0.5081899762153625,128
mlp,valid,1024,0.6391699910163879,256
mlp,valid,1024,0.7351899743080139,512
mlp,valid,4096,0.1063200011849403,4
mlp,valid,4096,0.1215900033712387,8
mlp,valid,4096,0.1328125,2
mlp,valid,4096,0.1367200016975402,16
mlp,valid,4096,0.1609400063753128,32
mlp,valid,4096,0.1978999972343444,64
mlp,valid,4096,0.2545300126075744,128
mlp,valid,4096,0.3312000036239624,256
mlp,valid,4096,0.4314199984073639,512
mlp,valid,16384,0.0995699986815452,4
mlp,valid,16384,0.1079000011086463,8
mlp,valid,16384,0.109375,2
mlp,valid,16384,0.1279599964618683,16
mlp,valid,16384,0.1464599967002868,32
mlp,valid,16384,0.1724199950695037,64
mlp,valid,16384,0.2195499986410141,128
mlp,valid,16384,0.2937799990177154,256
mlp,valid,16384,0.4076800048351288,512
mlp,valid,65536,0.1007699966430664,2
mlp,valid,65536,0.1042300015687942,4
