model_name,trained_on,dataset,valid_accuracy
lstm,MNIST,MNIST,0.08984375
lstm,MNIST,FashionMNIST,0.09375
lstm,MNIST,KMNIST,0.1015625
lstm,MNIST,CIFAR10,0.1171875
lstm,MNIST,SVHN,0.08984375
lstm,MNIST,MNIST,0.125
lstm,MNIST,FashionMNIST,0.109375
lstm,MNIST,KMNIST,0.09765625
lstm,MNIST,CIFAR10,0.12890625
lstm,MNIST,SVHN,0.12109375
lstm,MNIST,MNIST,0.11328125
lstm,MNIST,FashionMNIST,0.08203125
lstm,MNIST,KMNIST,0.09765625
lstm,MNIST,CIFAR10,0.06640625
lstm,MNIST,SVHN,0.09765625
