,model_name,trained_on,dataset,valid_loss,valid_accuracy,train_loss,train_accuracy
64,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4749),tensor(0.1010)
65,MLP,MNIST,MNIST,tensor(2.3457),0.0,tensor(3.0177),tensor(0.2424)
66,MLP,MNIST,FashionMNIST,tensor(2.3652),0.0,tensor(2.5110),tensor(0.3838)
67,MLP,MNIST,KMNIST,tensor(2.7147),0.0,tensor(2.7912),tensor(0.3434)
68,MLP,MNIST,CIFAR10,tensor(2.3319),0.0,tensor(3.1178),tensor(0.0808)
69,MLP,MNIST,SVHN,tensor(2.7053),0.0,tensor(3.0285),tensor(0.0909)
70,MLP,MNIST,MNIST,tensor(0.7473),1.0,tensor(2.5292),tensor(0.3333)
71,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.8663),tensor(0.1313)
72,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.5717),tensor(0.1313)
73,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6926),tensor(0.0909)
74,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.8120),tensor(0.1111)
75,MLP,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.6138),tensor(0.2727)
76,MLP,MNIST,FashionMNIST,tensor(1.5466),1.0,tensor(2.5642),tensor(0.2121)
77,MLP,MNIST,KMNIST,tensor(2.3621),0.0,tensor(2.8147),tensor(0.1515)
78,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5768),tensor(0.0707)
79,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6199),tensor(0.1111)
80,MLP,MNIST,MNIST,tensor(1.3375),1.0,tensor(2.4573),tensor(0.3232)
81,MLP,MNIST,FashionMNIST,tensor(2.6203),0.0,tensor(2.9692),tensor(0.3737)
82,MLP,MNIST,KMNIST,tensor(4.1392),0.0,tensor(3.3428),tensor(0.1919)
83,MLP,MNIST,CIFAR10,tensor(2.7708),0.0,tensor(2.9274),tensor(0.1313)
84,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(3.0042),tensor(0.1111)
85,MLP,MNIST,MNIST,tensor(0.0704),1.0,tensor(2.1285),tensor(0.3737)
86,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.8946),tensor(0.1212)
87,MLP,MNIST,KMNIST,tensor(2.6550),0.0,tensor(2.6117),tensor(0.2626)
88,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6330),tensor(0.0404)
89,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6087),tensor(0.1212)
90,MLP,MNIST,MNIST,tensor(1.2545),1.0,tensor(2.7306),tensor(0.2323)
91,MLP,MNIST,FashionMNIST,tensor(2.1242),1.0,tensor(2.2333),tensor(0.2525)
92,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.6340),tensor(0.1212)
93,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5595),tensor(0.1313)
94,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.7274),tensor(0.0808)
95,MLP,MNIST,MNIST,tensor(2.3112),0.0,tensor(2.7276),tensor(0.1010)
96,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.8928),tensor(0.1010)
97,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.3794),tensor(0.1717)
98,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6217),tensor(0.1515)
99,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.4296),tensor(0.0707)
100,MLP,MNIST,MNIST,tensor(2.3432),0.0,tensor(2.3563),tensor(0.3535)
101,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.4574),tensor(0.1414)
102,MLP,MNIST,KMNIST,tensor(1.7205),1.0,tensor(2.6846),tensor(0.0707)
103,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5543),tensor(0.0707)
104,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.5914),tensor(0.1111)
105,MLP,MNIST,MNIST,tensor(2.3026),1.0,tensor(2.4748),tensor(0.1919)
106,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.6290),tensor(0.3333)
107,MLP,MNIST,KMNIST,tensor(2.3475),0.0,tensor(2.9954),tensor(0.2626)
108,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.7981),tensor(0.1414)
109,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.8065),tensor(0.1010)
110,MLP,MNIST,MNIST,tensor(2.3603),0.0,tensor(2.7061),tensor(0.1616)
111,MLP,MNIST,FashionMNIST,tensor(2.3244),0.0,tensor(2.9847),tensor(0.3131)
112,MLP,MNIST,KMNIST,tensor(2.4967),0.0,tensor(3.1009),tensor(0.1818)
113,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(3.2037),tensor(0.1111)
114,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.9841),tensor(0.1313)
115,MLP,MNIST,MNIST,tensor(2.0137),1.0,tensor(2.4766),tensor(0.3232)
116,MLP,MNIST,FashionMNIST,tensor(2.3839),0.0,tensor(2.4205),tensor(0.2828)
117,MLP,MNIST,KMNIST,tensor(2.2647),0.0,tensor(3.1795),tensor(0.1717)
118,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(3.1736),tensor(0.1414)
119,MLP,MNIST,SVHN,tensor(2.3573),0.0,tensor(2.6808),tensor(0.1414)
120,MLP,MNIST,MNIST,tensor(2.3389),0.0,tensor(2.7699),tensor(0.1616)
121,MLP,MNIST,FashionMNIST,tensor(2.7640),0.0,tensor(2.4476),tensor(0.3535)
122,MLP,MNIST,KMNIST,tensor(2.4738),0.0,tensor(3.1743),tensor(0.1919)
123,MLP,MNIST,CIFAR10,tensor(2.3559),0.0,tensor(3.2136),tensor(0.1919)
124,MLP,MNIST,SVHN,tensor(2.3838),0.0,tensor(3.0624),tensor(0.1212)
125,MLP,MNIST,MNIST,tensor(2.3605),0.0,tensor(2.8558),tensor(0.1515)
126,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.8088),tensor(0.2121)
127,MLP,MNIST,KMNIST,tensor(2.3403),0.0,tensor(2.9688),tensor(0.1414)
128,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.6932),tensor(0.0808)
129,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6781),tensor(0.0505)
130,MLP,MNIST,MNIST,tensor(2.3026),0.0,tensor(2.4595),tensor(0.2525)
131,MLP,MNIST,FashionMNIST,tensor(3.1099),0.0,tensor(2.7278),tensor(0.3333)
132,MLP,MNIST,KMNIST,tensor(2.4133),0.0,tensor(3.1757),tensor(0.1818)
133,MLP,MNIST,CIFAR10,tensor(2.3026),1.0,tensor(3.1589),tensor(0.1515)
134,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.8556),tensor(0.0909)
135,MLP,MNIST,MNIST,tensor(2.3108),0.0,tensor(2.8337),tensor(0.0909)
136,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.4207),tensor(0.2121)
137,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.8204),tensor(0.0909)
138,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.4407),tensor(0.1313)
139,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.5785),tensor(0.0505)
140,MLP,MNIST,MNIST,tensor(2.4610),0.0,tensor(2.6173),tensor(0.2929)
141,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.5554),tensor(0.1212)
142,MLP,MNIST,KMNIST,tensor(3.0848),0.0,tensor(2.4353),tensor(0.1616)
143,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.4534),tensor(0.0909)
144,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.5413),tensor(0.1313)
145,MLP,MNIST,MNIST,tensor(2.3359),0.0,tensor(2.6913),tensor(0.1616)
146,MLP,MNIST,FashionMNIST,tensor(2.3430),0.0,tensor(3.1834),tensor(0.3535)
147,MLP,MNIST,KMNIST,tensor(2.3907),0.0,tensor(2.9671),tensor(0.2525)
148,MLP,MNIST,CIFAR10,tensor(2.3988),0.0,tensor(3.1533),tensor(0.0808)
149,MLP,MNIST,SVHN,tensor(2.3026),1.0,tensor(2.6936),tensor(0.1010)
150,MLP,MNIST,MNIST,tensor(2.7636),0.0,tensor(2.7222),tensor(0.2727)
151,MLP,MNIST,FashionMNIST,tensor(2.3026),0.0,tensor(2.6090),tensor(0.3030)
152,MLP,MNIST,KMNIST,tensor(2.3026),0.0,tensor(2.5996),tensor(0.2121)
153,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.7970),tensor(0.1111)
154,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6059),tensor(0.0909)
155,MLP,MNIST,MNIST,tensor(2.4371),0.0,tensor(2.4030),tensor(0.2626)
156,MLP,MNIST,FashionMNIST,tensor(4.2133),0.0,tensor(2.3686),tensor(0.2525)
157,MLP,MNIST,KMNIST,tensor(2.6380),0.0,tensor(2.6797),tensor(0.2020)
158,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5651),tensor(0.0909)
159,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.6586),tensor(0.0808)
160,MLP,MNIST,MNIST,tensor(1.2987),1.0,tensor(2.5740),tensor(0.2626)
161,MLP,MNIST,FashionMNIST,tensor(0.0014),1.0,tensor(2.3934),tensor(0.2626)
162,MLP,MNIST,KMNIST,tensor(3.3802),0.0,tensor(3.0944),tensor(0.1111)
163,MLP,MNIST,CIFAR10,tensor(2.3026),0.0,tensor(2.5682),tensor(0.0707)
164,MLP,MNIST,SVHN,tensor(2.3026),0.0,tensor(2.7627),tensor(0.0808)
